Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Faramarz Assef,https://en.wikipedia.org/wiki/Faramarz_Assef,Q31202699,https://www.wikidata.org/wiki/Q31202699,male,composer; singer; songwriter,Iran,Abadan,1948-10-27T00:00:00Z
Ali Baziyar Shoorijeh,https://en.wikipedia.org/wiki/Ali_Baziyar_Shoorijeh,Q136434350,https://www.wikidata.org/wiki/Q136434350,male,,Iran,,1999-01-01T00:00:00Z
Padideh Bolourizadeh,https://en.wikipedia.org/wiki/Padideh_Bolourizadeh,Q7123749,https://www.wikidata.org/wiki/Q7123749,female,athletics competitor; volleyball player,Iran,Tehran,1974-12-01T00:00:00Z
Hamideh Esmaeilnejad,https://en.wikipedia.org/wiki/Hamideh_Esmaeilnejad,Q116753998,https://www.wikidata.org/wiki/Q116753998,female,athletics competitor; sprinter,Iran,Sabzevar,1997-07-23T00:00:00Z
Masoud Kamran,https://en.wikipedia.org/wiki/Masoud_Kamran,Q117282496,https://www.wikidata.org/wiki/Q117282496,male,athletics competitor,,,1999-01-16T00:00:00Z
Amir Moradi,https://en.wikipedia.org/wiki/Amir_Moradi,Q42296872,https://www.wikidata.org/wiki/Q42296872,male,athletics competitor,Iran,Tehran,1990-04-10T00:00:00Z
Moslem Niadoost,https://en.wikipedia.org/wiki/Moslem_Niadoost,Q42298131,https://www.wikidata.org/wiki/Q42298131,male,athletics competitor,Iran,,1990-07-25T00:00:00Z
Ali Shahrokhi,https://en.wikipedia.org/wiki/Ali_Shahrokhi,Q40218847,https://www.wikidata.org/wiki/Q40218847,male,athletics competitor,Iran,,1988-03-11T00:00:00Z
Reza Baluchi,https://en.wikipedia.org/wiki/Reza_Baluchi,Q22002459,https://www.wikidata.org/wiki/Q22002459,male,,,,1972-01-01T00:00:00Z
Mohammad Bagheri Taj Amir,https://en.wikipedia.org/wiki/Mohammad_Bagheri_Taj_Amir,Q89346851,https://www.wikidata.org/wiki/Q89346851,male,athletics competitor; sprinter,Iran,,1999-01-01T00:00:00Z
