Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
255,Iran activist,Majid Tavakoli,MajidTavakolii,https://x.com/MajidTavakolii,iranian_activists,,https://en.wikipedia.org/wiki/Majid_Tavakoli
256,Iran footballer,Younes Masoudi,MasoudiYounes,https://x.com/MasoudiYounes,iranian_footballers,,https://en.wikipedia.org/wiki/Younes_Masoudi
257,Iran activist,Mohammad Fazeli,Mfazeli114,https://x.com/Mfazeli114,iranian_activists,,https://en.wikipedia.org/wiki/Mohammad_Fazeli
258,Iran footballer,Niloofar Ardalan,NArdallan,https://x.com/NArdallan,iranian_footballers,,https://en.wikipedia.org/wiki/Niloofar_Ardalan
259,Iran activist,Western Iran clashes (2016–present),PDKIRAN,https://x.com/PDKIRAN,iranian_activists,,https://en.wikipedia.org/wiki/Western_Iran_clashes_%282016%E2%80%93present%29
260,Iran footballer,Peyman Keshavarzi,Pey_keshavarzi,https://x.com/Pey_keshavarzi,iranian_footballers,,https://en.wikipedia.org/wiki/Peyman_Keshavarzi
261,Iran activist,Kurdistan Freedom Party,PollaGarmiany,https://x.com/PollaGarmiany,iranian_activists,,https://en.wikipedia.org/wiki/Kurdistan_Freedom_Party
262,Iran weightlifter,Hamed Solhipour,Powerlifting,https://x.com/Powerlifting,iranian_weightlifters,,https://en.wikipedia.org/wiki/Hamed_Solhipour
263,Iran activist,Izzat Ibrahim al-Douri,RghadSaddam,https://x.com/RghadSaddam,iranian_activists,,https://en.wikipedia.org/wiki/Izzat_Ibrahim_al-Douri
264,Iran footballer,Sardar Azmoun,SAzmoun,https://x.com/SAzmoun,iranian_footballers,,https://en.wikipedia.org/wiki/Sardar_Azmoun
265,Iran activist,Farah Pahlavi,ShahbanouFarah,https://x.com/ShahbanouFarah,iranian_activists,,https://en.wikipedia.org/wiki/Farah_Pahlavi
266,Iran footballer,Jahon Rad,SportingKC,https://x.com/SportingKC,iranian_footballers,,https://en.wikipedia.org/wiki/Jahon_Rad
267,Iran activist,Taraneh Javanbakht,T_Javanbakht,https://x.com/T_Javanbakht,iranian_activists,,https://en.wikipedia.org/wiki/Taraneh_Javanbakht
268,Iran footballer,Peyman Hosseini,TeamMelliIran,https://x.com/TeamMelliIran,iranian_footballers,,https://en.wikipedia.org/wiki/Peyman_Hosseini
269,Iran footballer,Alireza Beiranvand,TheAFCCL,https://x.com/TheAFCCL,iranian_footballers,,https://en.wikipedia.org/wiki/Alireza_Beiranvand
270,Iran activist,Ali Akbar al-Modarresi,TheSayed,https://x.com/TheSayed,iranian_activists,,https://en.wikipedia.org/wiki/Ali_Akbar_al-Modarresi
271,Iran footballer,Omid Nazari,UFLphilippines,https://x.com/UFLphilippines,iranian_footballers,,https://en.wikipedia.org/wiki/Omid_Nazari
272,Iran activist,United Nations Commission on the Status of Women,UN_CSW,https://x.com/UN_CSW,iranian_activists,,https://en.wikipedia.org/wiki/United_Nations_Commission_on_the_Status_of_Women
