iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,50,33,17,17,LOOCV,100,AdaBoost,TFIDF_full_name,200,False,0.55,0.4796629213483146,0.55,0.4503237410071942,
1,target_population,3,17,17,17,17,LOOCV,51,AdaBoost,TFIDF_full_name,200,True,0.2941176470588235,0.2930232558139534,0.2941176470588235,0.2242424242424242,
1,target_population,2,50,33,0,33,LOOCV,83,AdaBoost,TFIDF_full_name,200,False,0.6626506024096386,0.8571428571428571,0.1818181818181818,0.3,0.2945454545454545
1,target_population,2,33,33,0,33,LOOCV,66,AdaBoost,TFIDF_full_name,200,True,0.5909090909090909,0.8,0.2424242424242424,0.3720930232558139,0.2791551882460973
1,target_population,3,50,33,17,17,KFold,5,LogReg,TFIDF_description+username,155,False,0.53,0.5218947368421053,0.53,0.4074047186932849,
1,target_population,3,17,17,17,17,KFold,5,LogReg,TFIDF_description+username,155,True,0.2745098039215686,0.2777777777777778,0.2745098039215686,0.2671478214381181,
1,target_population,2,50,33,0,33,KFold,5,LogReg,TFIDF_description+username,155,False,0.6144578313253012,1.0,0.0303030303030303,0.0588235294117647,0.4727272727272727
1,target_population,2,33,33,0,33,KFold,5,LogReg,TFIDF_description+username,155,True,0.4848484848484848,0.4827586206896552,0.4242424242424242,0.4516129032258064,0.5091827364554637
1,target_population,3,50,33,17,17,LOOCV,100,LogReg,TFIDF_description+username,155,False,0.52,0.4558947368421053,0.52,0.3900362976406534,
1,target_population,3,17,17,17,17,LOOCV,51,LogReg,TFIDF_description+username,155,True,0.3529411764705882,0.3680033416875521,0.3529411764705882,0.2988801054018445,
1,target_population,2,50,33,0,33,LOOCV,83,LogReg,TFIDF_description+username,155,False,0.6024096385542169,0.0,0.0,0.0,0.3315151515151515
1,target_population,2,33,33,0,33,LOOCV,66,LogReg,TFIDF_description+username,155,True,0.2575757575757575,0.25,0.2424242424242424,0.2461538461538461,0.379247015610652
1,target_population,3,50,33,17,17,KFold,5,DecisionTree,TFIDF_description+username,155,False,0.42,0.3359760273972603,0.42,0.3656054771074026,
1,target_population,3,17,17,17,17,KFold,5,DecisionTree,TFIDF_description+username,155,True,0.2941176470588235,0.2909090909090908,0.2941176470588235,0.2876447876447877,
1,target_population,2,50,33,0,33,KFold,5,DecisionTree,TFIDF_description+username,155,False,0.5542168674698795,0.25,0.0606060606060606,0.0975609756097561,0.4703030303030303
1,target_population,2,33,33,0,33,KFold,5,DecisionTree,TFIDF_description+username,155,True,0.5,0.5,0.6060606060606061,0.547945205479452,0.5
1,target_population,3,50,33,17,17,LOOCV,100,DecisionTree,TFIDF_description+username,155,False,0.44,0.3468720930232558,0.44,0.3483587388443749,
1,target_population,3,17,17,17,17,LOOCV,51,DecisionTree,TFIDF_description+username,155,True,0.3137254901960784,0.2777777777777778,0.3137254901960784,0.1963780418788907,
1,target_population,2,50,33,0,33,LOOCV,83,DecisionTree,TFIDF_description+username,155,False,0.5301204819277109,0.0,0.0,0.0,0.44
1,target_population,2,33,33,0,33,LOOCV,66,DecisionTree,TFIDF_description+username,155,True,0.2575757575757575,0.3095238095238095,0.3939393939393939,0.3466666666666667,0.2575757575757575
1,target_population,3,50,33,17,17,KFold,5,RandomForest,TFIDF_description+username,155,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,RandomForest,TFIDF_description+username,155,True,0.4117647058823529,0.6740740740740742,0.4117647058823529,0.3387096774193548,
1,target_population,2,50,33,0,33,KFold,5,RandomForest,TFIDF_description+username,155,False,0.6024096385542169,0.0,0.0,0.0,0.4824242424242424
1,target_population,2,33,33,0,33,KFold,5,RandomForest,TFIDF_description+username,155,True,0.4545454545454545,0.4482758620689655,0.3939393939393939,0.4193548387096774,0.4963269054178145
1,target_population,3,50,33,17,17,LOOCV,100,RandomForest,TFIDF_description+username,155,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,LOOCV,51,RandomForest,TFIDF_description+username,155,True,0.3333333333333333,0.3358585858585858,0.3333333333333333,0.2306010928961748,
1,target_population,2,50,33,0,33,LOOCV,83,RandomForest,TFIDF_description+username,155,False,0.6024096385542169,0.0,0.0,0.0,0.3378787878787879
1,target_population,2,33,33,0,33,LOOCV,66,RandomForest,TFIDF_description+username,155,True,0.2575757575757575,0.1923076923076923,0.1515151515151515,0.1694915254237288,0.2750229568411386
1,target_population,3,50,33,17,17,KFold,5,SVM,TFIDF_description+username,155,False,0.52,0.4616847826086956,0.52,0.4114737203710065,
1,target_population,3,17,17,17,17,KFold,5,SVM,TFIDF_description+username,155,True,0.392156862745098,0.4722222222222222,0.392156862745098,0.3402907796500474,
1,target_population,2,50,33,0,33,KFold,5,SVM,TFIDF_description+username,155,False,0.5783132530120482,0.4166666666666667,0.1515151515151515,0.2222222222222222,0.48
1,target_population,2,33,33,0,33,KFold,5,SVM,TFIDF_description+username,155,True,0.4848484848484848,0.4827586206896552,0.4242424242424242,0.4516129032258064,0.5
1,target_population,3,50,33,17,17,LOOCV,100,SVM,TFIDF_description+username,155,False,0.5,0.3961206896551724,0.5,0.4018004866180049,
1,target_population,3,17,17,17,17,LOOCV,51,SVM,TFIDF_description+username,155,True,0.3725490196078431,0.4277777777777777,0.3725490196078431,0.312622795460324,
1,target_population,2,50,33,0,33,LOOCV,83,SVM,TFIDF_description+username,155,False,0.6024096385542169,0.5,0.1515151515151515,0.2325581395348837,0.3539393939393939
1,target_population,2,33,33,0,33,LOOCV,66,SVM,TFIDF_description+username,155,True,0.2575757575757575,0.25,0.2424242424242424,0.2461538461538461,0.3939393939393939
