,,,,,,,,accuracy,accuracy,F1,F1,AUC,AUC
,,,,,,,,mean,std,mean,std,mean,std
iteration,data_version,target_column,algorithm,feature_set,training_type,balanced,#classes,,,,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,KFold,True,2,0.45,,0.6206896551724138,,0.45,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,KFold,True,3,0.3,,0.15384615384615385,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,LOOCV,False,2,0.6206896551724138,,0.7659574468085106,,0.47368421052631576,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,LOOCV,False,3,0.3953488372093023,,0.2503875968992248,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,LOOCV,True,2,0.45,,0.6206896551724138,,0.45,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_full_name,LOOCV,True,3,0.26666666666666666,,0.14414414414414414,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,KFold,False,3,0.4418604651162791,,0.27081770442610653,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,KFold,True,2,0.5,,0.6666666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,KFold,True,3,0.3333333333333333,,0.26406926406926406,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,LOOCV,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,LOOCV,False,3,0.4418604651162791,,0.27081770442610653,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,LOOCV,True,2,0.0,,0.0,,0.0,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username,LOOCV,True,3,0.0,,0.0,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,KFold,False,3,0.4186046511627907,,0.2651162790697674,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,KFold,True,2,0.45,,0.56,,0.44999999999999996,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,KFold,True,3,0.3,,0.2852214960058097,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,LOOCV,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,LOOCV,False,3,0.3953488372093023,,0.2503875968992248,,,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,LOOCV,True,2,0.0,,0.0,,0.0,
2,iteration_2_merged,locals_vs_diaspora,DecisionTree,TFIDF_username+full_name,LOOCV,True,3,0.0,,0.0,,,
2,iteration_2_merged,locals_vs_diaspora,LogReg,NUM_bio_len,KFold,False,2,0.7586206896551724,,0.8292682926829268,,0.7789473684210526,
2,iteration_2_merged,locals_vs_diaspora,LogReg,NUM_bio_len,KFold,False,3,0.4883720930232558,,0.427420580635355,,,
