Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Template:Muhammad Khatami,https://en.wikipedia.org/wiki/Template%3AMuhammad_Khatami,,,,,,,
A Letter for Tomorrow,https://en.wikipedia.org/wiki/A_Letter_for_Tomorrow,Q23015120,https://www.wikidata.org/wiki/Q23015120,,,,,
The Man with the Chocolate Robe,https://en.wikipedia.org/wiki/The_Man_with_the_Chocolate_Robe,Q7750139,https://www.wikidata.org/wiki/Q7750139,,,,,
Muhammad Khatami 2009 presidential campaign,https://en.wikipedia.org/wiki/Muhammad_Khatami_2009_presidential_campaign,Q6892144,https://www.wikidata.org/wiki/Q6892144,,,,,
Mohammad Khatami's reforms,https://en.wikipedia.org/wiki/Mohammad_Khatami%27s_reforms,,,,,,,
Advisor to the President of Iran,https://en.wikipedia.org/wiki/Advisor_to_the_President_of_Iran,Q27986870,https://www.wikidata.org/wiki/Q27986870,,,,,
Hamid Mowlana,https://en.wikipedia.org/wiki/Hamid_Mowlana,Q5644620,https://www.wikidata.org/wiki/Q5644620,male,politician,Iran,Tabriz,1937-01-01T00:00:00Z
Mohammad-Ali Abtahi,https://en.wikipedia.org/wiki/Mohammad-Ali_Abtahi,Q443298,https://www.wikidata.org/wiki/Q443298,male,blogger; politician; theologian,Iran,Mashhad,1958-09-29T00:00:00Z
Asadollah Asgaroladi,https://en.wikipedia.org/wiki/Asadollah_Asgaroladi,Q4803277,https://www.wikidata.org/wiki/Q4803277,male,businessperson; engineer; politician,Iran; Pahlavi dynasty,Tehran,1934-03-06T00:00:00Z
Hesamodin Ashna,https://en.wikipedia.org/wiki/Hesamodin_Ashna,Q5679044,https://www.wikidata.org/wiki/Q5679044,male,politician; writer,Iran,Tehran,1964-08-18T00:00:00Z
Mehrdad Bazrpash,https://en.wikipedia.org/wiki/Mehrdad_Bazrpash,Q5958806,https://www.wikidata.org/wiki/Q5958806,male,politician,Iran,Tehran,1980-01-01T00:00:00Z
Nasser Biria,https://en.wikipedia.org/wiki/Nasser_Biria,Q35495614,https://www.wikidata.org/wiki/Q35495614,male,politician; ʿālim,Iran; Pahlavi Iran,Kermanshah,1959-01-22T00:00:00Z
Mehdi Chamran,https://en.wikipedia.org/wiki/Mehdi_Chamran,Q10858605,https://www.wikidata.org/wiki/Q10858605,male,architect; politician,Iran,Tehran,1941-09-09T00:00:00Z
Davoud Danesh-Jafari,https://en.wikipedia.org/wiki/Davoud_Danesh-Jafari,Q5242121,https://www.wikidata.org/wiki/Q5242121,male,economist; politician,Iran,Tehran,1954-01-01T00:00:00Z
Parviz Davoodi,https://en.wikipedia.org/wiki/Parviz_Davoodi,Q981435,https://www.wikidata.org/wiki/Q981435,male,economist; politician,Iran; Pahlavi Iran,Tehran,1952-02-05T00:00:00Z
Gholam-Hossein Elham,https://en.wikipedia.org/wiki/Gholam-Hossein_Elham,Q349319,https://www.wikidata.org/wiki/Q349319,male,academic; politician,Iran,Andimeshk,1959-01-01T00:00:00Z
Reza Farajidana,https://en.wikipedia.org/wiki/Reza_Farajidana,Q5955447,https://www.wikidata.org/wiki/Q5955447,male,engineer; politician,Iran,Qom,1960-10-27T00:00:00Z
Shahla Habibi,https://en.wikipedia.org/wiki/Shahla_Habibi,Q16048795,https://www.wikidata.org/wiki/Q16048795,female,politician,Iran,Kermanshah,1958-01-01T00:00:00Z
