Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Pardis Ahmadieh,https://en.wikipedia.org/wiki/Pardis_Ahmadieh,Q42533858,https://www.wikidata.org/wiki/Q42533858,female,actor; model,Iran,Tehran,1992-06-29T00:00:00Z,,
Maryam Amir Jalali,https://en.wikipedia.org/wiki/Maryam_Amir_Jalali,Q10858379,https://www.wikidata.org/wiki/Q10858379,female,actor; film actor,Iran,Kangavar County,1947-01-01T00:00:00Z,,
Mary Apick,https://en.wikipedia.org/wiki/Mary_Apick,Q542469,https://www.wikidata.org/wiki/Q542469,female,actor; film actor; film director; film producer,Iran,Tehran,1954-06-16T00:00:00Z,,
Aram (actress),https://en.wikipedia.org/wiki/Aram_%28actress%29,,,,,,,,,
Afsar Asadi,https://en.wikipedia.org/wiki/Afsar_Asadi,Q5922679,https://www.wikidata.org/wiki/Q5922679,female,actor; make-up artist; poet; writer,Iran,Mianeh,1958-01-16T00:00:00Z,,
Khatereh Asadi,https://en.wikipedia.org/wiki/Khatereh_Asadi,Q5929390,https://www.wikidata.org/wiki/Q5929390,female,actor,Iran,Tehran,1983-08-29T00:00:00Z,,
Vishka Asayesh,https://en.wikipedia.org/wiki/Vishka_Asayesh,Q5951102,https://www.wikidata.org/wiki/Q5951102,female,actor; art director; costume designer,Iran,Tehran,1972-11-07T00:00:00Z,,
Tala Ashe,https://en.wikipedia.org/wiki/Tala_Ashe,Q2018794,https://www.wikidata.org/wiki/Q2018794,female,actor; stage actor; television actor,Iran; United States,Tehran,1984-07-24T00:00:00Z,talaashe,https://x.com/talaashe
Rana Azadivar,https://en.wikipedia.org/wiki/Rana_Azadivar,Q10325571,https://www.wikidata.org/wiki/Q10325571,female,actor; singer,Iran,Tehran,1983-04-04T00:00:00Z,,
Asal Badiee,https://en.wikipedia.org/wiki/Asal_Badiee,Q5939820,https://www.wikidata.org/wiki/Q5939820,female,actor,Iran,Tehran,1977-05-09T00:00:00Z,,
Pantea Bahram,https://en.wikipedia.org/wiki/Pantea_Bahram,Q3362461,https://www.wikidata.org/wiki/Q3362461,female,actor,Iran,Tehran,1970-03-04T00:00:00Z,,
Sara Bahrami,https://en.wikipedia.org/wiki/Sara_Bahrami,Q27063217,https://www.wikidata.org/wiki/Q27063217,female,actor,Iran,Isfahan,1982-09-19T00:00:00Z,,
Sareh Bayat,https://en.wikipedia.org/wiki/Sareh_Bayat,Q6410380,https://www.wikidata.org/wiki/Q6410380,female,actor,Iran,Mashhad,1979-10-06T00:00:00Z,,
Afsaneh Bayegan,https://en.wikipedia.org/wiki/Afsaneh_Bayegan,Q2826285,https://www.wikidata.org/wiki/Q2826285,female,actor,Iran; Pahlavi Iran,Tehran,1961-01-02T00:00:00Z,,
Behnoosh Bakhtiari,https://en.wikipedia.org/wiki/Behnoosh_Bakhtiari,Q2893916,https://www.wikidata.org/wiki/Q2893916,female,actor; film actor,Iran,Iran,1975-05-19T00:00:00Z,,
Soudabeh Beizaee,https://en.wikipedia.org/wiki/Soudabeh_Beizaee,Q16051390,https://www.wikidata.org/wiki/Q16051390,female,actor; film director; writer,Iran,Shiraz,1981-04-28T00:00:00Z,,
Shirin Bina,https://en.wikipedia.org/wiki/Shirin_Bina,Q5948944,https://www.wikidata.org/wiki/Q5948944,female,actor,Iran,Marand,1964-08-20T00:00:00Z,,
